主办方,计数
中国心理学会心理学普及工作委员会 等,3
中国志愿服务联合会 等,2
中国慈善联合会,1
中国慈善联合会 等,1
中国慈善联合会、深圳市民政局,1
中国手绘艺术设计大赛组委会,1
中国扶贫基金会,1
中国扶贫基金会 等,5
中国技术创业协会企业市场融通工作委员会,6
中国技术创业协会技术创新工作委员会,1
中国技术创业协会校企融合专业委员会,1
中国技术创业协会校企融合专业委员会 等,1
中国技术创业协会留学人员创业园工作委员会,1
中国技术创业协会留学人员创业园联盟,1
中国报业协会 等,1
中国报道杂志社 等,1
中国指挥与控制学会,1
中国指挥与控制学会 等,1
中国插花花艺协会 等,1
中国摄影出版传媒有限责任公司（中国摄影出版社）,1
中国摄影出版传媒有限责任公司（中国摄影出版社）  等,1
中国摄影家协会,1
中国摄影家协会   等,1
中国摄影家协会 等,8
中国摄影报社,1
中国摄影报社 等,1
中国摄影报社与中国水利水电出版社,1
中国摄影网,1
中国政法大学光政辩协 等,1
中国政法大学教务处,2
中国政法大学教务处 等,1
中国政法大学教育基金会-蔡定剑宪法学教育基金,1
中国教育创新研究院,3
中国教育发展战略学会教育信息化专业委员会,1
中国教育后勤协会,1
中国教育学会,2
中国教育技术协会、科讯网世界有限公司,1
中国教育报,1
中国教育报、中国人民大学,1
中国教育电视台 等,2
中国教育装备行业协会后勤装备管理分会 等,1
中国教育部 等,2
中国散文学会 等,3
中国数学会,18
中国数学会、四川省数学会,1
中国数学会全国大学生数学竞赛工作组,1
中国数学会数学竞赛委员会,1
中国数学会普及工作委员会,8
中国数学学会,1
中国数学学会普及工作委员会,1
中国数学教育公益基金会（筹） 等,1
中国文化传媒集团,1
中国文化传媒集团有限公司 等,1
中国文化信息协会大众文化发展工作委员会 等,2
中国文化用品商品交易会,1
中国文字字体设计与研究中心 等,1
中国文学艺术界联合会、中国摄影家协会、厦门市人民政府,1
中国文学艺术界联合会、中国电视艺术家协会、中国传媒大学,1
中国文房四宝协会 等,1
中国文物交流中心 等,1
中国文物保护基金,1
中国文物保护基金会 等,1
中国文联 等,2
中国文艺评论家协会青年委员会 等,1
中国新闻周刊,1
中国新闻摄影学会、中共张掖市委、张掖市人民政府、五州传播中心,1
中国新闻社四川分社 等,1
中国新闻网 等,1
中国旅游协会,1
中国旅游协会旅游教育分会  中国共产主义青年团广州市南沙区委员会  南开大学旅游与服务学院  广州南沙旅游发展有限公司,1
中国旅游协会旅游教育分会  厦门大学  泉州市文化广电和旅游局  中共泉州市鲤城区委    泉州市鲤城区人民政府,1
中国旅游协会旅游教育分会  等,1
中国旅游协会旅游教育分会 等,4
中国旅游协会旅游教育分会/中国共产主义青年团广州市南沙区委员会/南开大学旅游与服务学院/广州南沙旅游发展有限公司,1
中国日报,1
中国日报社,6
中国日报社主办,1
中国普惠金融发展研究中心 等,1
中国智慧工程研究会职业教育专业委员会,10
中国智能制造挑战赛全国竞赛组委会,2
中国智能制造系统解决方案供应商联盟 等,1
中国服务贸易协会专家委员会 等,2
中国服务贸易协会国际交流工作委员会,1
中国服装协会 等,3
中国服装设计师协会    等,1
中国服装设计师协会 等,15
中国服装设计师协会、山东省归国华侨联合会、山东广播电视台、山东省服装设计协会,1
中国服装设计师协会、迪尚集团有限公司,1
中国未来研究会,2
中国未来研究会大数据与数学建模专业委员会 等,1
中国未来研究会大数据与数学模型专业委员会 等,3
中国机器人及人工智能大赛组委会,2
中国机器人运动工作委员会 等,1
中国机械工业联合会 等,2
中国机械工程学会,7
中国机械工程学会 等,7
中国机械工程学会塑性工程分会,1
中国机电一体化技术应用协会,4
中国材料研究学会 等,2
中国林业产业联合会 等,2
中国林学会,1
中国标准化协会 等,2
中国校园文学杂志社 等,1
中国模特之星大赛组委会,1
中国欧洲经济技术合作协会 等,2
中国欧洲经济技术合作协会一带一路经济文化委员会,1
中国欧洲经济技术合作协会一带一路经济文化委员会 等,2
中国欧洲经济技术合作协会一带一路经济文化工作委员会,3
中国毛纺织行业协会 等,1
中国民俗摄影协会,1
中国民族民间工艺美术家协会、大同市人民政府、山西中华文化促进会、山西省民间工艺美术家协会,1
中国民生银行,1
中国民航大学校团委 等,1
中国民航机场建设集团有限公司,3
中国水利教育协会 等,1
中国水利水电出版传媒集团 水利部宣传教育中心 水利部河湖保护中心 水利部水利风景区建设与管理领导小组办公室 中国宋庆龄青少年科技文化交流中心,1
中国水土保持学会,1
中国汽车工程协会 等,1
中国汽车工程学会,6
中国汽车工程学会 等,1
中国汽车工程学会汽车空气动力学分会 等,1
中国法学会,1
中国流行色协会,2
中国流行色协会 等,1
中国测绘地理信息学会 等,1
中国测绘学会,2
中国测绘学会 等,1
中国测绘学会教育工作委员会,1
中国海洋大学,2
中国海洋大学工程学院科技爱好者协会,4
中国海洋学会  等,1
中国涂料工业协会 等,1
中国涂料工业协会、中国贸促会建设行业分会、中国绿色建筑研究院,1
中国消费者报社 等,1
中国渔业互保协会 等,1
中国游戏产业研究院,2
中国游戏产业研究院社会价值研究中心；中国传媒大学动画与数字艺术学院；腾讯互妷社会价值研究中心；上海正向数字化技术研究院,1
中国演讲协会 等,1
中国激光产业社团联盟 等,1
中国灵山公益慈善促进会,1
中国灵山公益慈善促进会 等,1
中国煤炭学会,1
中国照明学会 等,1
中国照明电器协会 等,1
中国物品编码中心,2
中国物流与采购联合会,2
中国物流与采购联合会  等,1
中国物流与采购联合会 等,1
中国物流与采购联合会、中国物流学会,1
中国物流与采购联盟会,1
中国物流生产力促进中心,6
中国物联网产教融合联盟 等,2
中国玩具和婴童用品协会,1
中国玩具和婴童用品协会 等,3
中国环境报,2
中国环境报社,1
中国现场统计研究会,3
中国珠宝玉石首饰行业协会 等,2
中国珠宝玉石首饰行业协会、国土资源部珠宝玉石首饰管理中心、共青团中国地质大学（北京）委员会、中国地质大学（北京）学生会,1
中国生产力学会,1
中国生态学学会教育工作委员会 等,1
中国生态学学会生态学教育工作委员会,1
中国生态学学会生态学教育工作委员会 等,1
中国生态文化协会,1
中国生物医学工程学会,1
中国生物多样性保护与绿色发展基金会,1
中国生物多样性保护与绿色发展基金会 等,1
中国田径协会 等,5
中国电信 等,1
中国电信“爱游戏”、5秒轻游戏,1
中国电信上海公司,1
中国电信集团有限公司 等,1
中国电信集团有限公司科技创新部 等,1
中国电器工业协会 等,1
中国电器科学研究院股份有限公司,1
中国电子信息产业发展研究院,1
中国电子信息产业发展研究院 等,3
中国电子信息产业发展研究院、重庆飞象工业互联网有限公司,1
中国电子信息产业集团有限公司,1
中国电子信息行业联合会    等,1
中国电子信息行业联合会 等,2
中国电子商会 等,2
中国电子商务协会 等,4
中国电子学会,8
中国电子学会 等,2
中国电子学会现代教育技术分会,1
中国电子学会现代教育技术分会 等,1
中国电子工业标准化技术协会学术与科普工作委员会,1
中国电子技术标准化研究院,1
中国电子教育学会,1
中国电子视像行业协会,1
中国电子视像行业协会 等,2
中国电子质量管理协会 等,1
中国电工技术学会,6
中国电影家协会 等,2
中国电影家协会、北京电影学院、共青团中央网络影视中心,1
中国电影家协会、武汉市人民政府、北京电影学院,1
中国电影家协会、泰州市人民政府,1
中国电影美术学会服装造型艺术专业委员会 等,1
中国电机工程学会,3
中国电机工程学会电工数学专业委员会,1
中国电机工程学会电工数学专委会,1
中国电机工程学会电工数学专委会 等,1
中国电源学会 等,1
中国电视艺术家协会微视频（微电影）专业委员会 等,1
中国畜产品加工研究会,2
中国百货商业协会 等,1
中国皮革协会,1
中国皮革协会 等,2
中国知识产权报社,1
中国石油和化学工业,1
中国石油和化学工业联合会,2
中国石油和化学工业联合会 等,5
中国石油和化学工业联合会国际交流与外企委员会,1
中国石油大学理学院数学建模协会,1
中国石油大学（北京）,6
中国石油大学（北京）大学生科技创新行动计划管理委员会,1
中国石油大学（华东）教务处 等,4
中国石油大学（华东）数学建模协会,7
中国石油学会,1
中国石油学会 等,1
中国石油学会海洋石油分会 等,1
中国石油工程设计大赛组委会,1
中国石油工程设计大赛组织委员会,1
中国石油教育学会,1
中国矿业大大学乒羽协会,1
中国矿业大大学乒羽协会 等,2
中国矿业大学,2
中国矿业大学 等,1
中国矿业大学、东南大学、江苏省能源研究会,1
中国矿业大学乒羽协会,1
中国矿业大学信电学院新闻传播中心开展,1
中国矿业大学共青团委员会,1
中国矿业大学共青团委员会 等,1
中国矿业大学力学与土木工程学院创新协会,1
中国矿业大学力学与土木工程学院社团联合会活动事务部,1
中国矿业大学力学与建筑学院创新协会,1
中国矿业大学力学与建筑工程学院创新协会,1
中国矿业大学力建学院创新协会,3
中国矿业大学力建学院团委,1
中国矿业大学力建学院大学生心理自助中心,1
中国矿业大学力建学院数模协会,1
中国矿业大学团委 力建学院团委,1
中国矿业大学团委学生会 等,1
中国矿业大学外国语言文化系,1
中国矿业大学大学生科学技术协会 等,1
中国矿业大学教务部,1
中国矿业大学教务部 等,1
中国矿业大学数学学院,1
中国矿业大学数学学院团委,1
中国矿业大学数学建模协会,4
中国矿业大学数学建模协会 等,10
中国矿业大学未来建筑师协会,2
中国矿业大学机电学院青协、心理自助中心、思源社主办，资源、环测等学院青协,1
中国矿业大学校团委 等,2
中国矿业大学环测学院,1
中国矿业大学环测学院科协,2
中国矿业大学环测学院科协竞赛部,1
中国矿业大学科学技术协会,1
中国矿业大学银川学院,5
中国矿业大学银川学院化学工程系,1
中国矿物岩石地球化学学会、中国科学院地球化学研究所,1
中国研究生智慧城市技术与创意设计大赛组委会,1
中国硅酸盐学会 等,2
中国社会工作联合会,1
中国福利会 等,1
中国福利彩票,1
中国科协、天津市人民政府,1
中国科协、教育部、科技部、中国科学院、中国社科院、中国工程院、自然科学基金委、国家国防科工局,1
中国科协、教育部、科技部、环保部、体育总局、共青团中央、全国妇联、自然科学基金委员会 等,1
中国科协办公厅 等,1
中国科协智能制造学会联合体 等,1
中国科协科学技术传播中心 等,2
中国科协科普部 等,3
中国科协科普部、共青团中央学校部,1
中国科协航空发动机产学联合体 等,1
中国科学学与科技政策研究会,1
中国科学技术协会,1
中国科学技术协会 等,4
中国科学技术馆 等,2
中国科学报社,1
中国科学院,1
中国科学院 等,1
中国科学院上海微系统与信息技术研究所 等,1
中国科学院大学 等,1
中国科学院大学计算机与控制学院 等,1
中国科学院科学传播局 等,2
中国科学院软件研究所,1
中国科技新闻学会 等,1
中国科技部,1
中国科技部 等,1
中国科普作家协会 等,1
中国科普作家协会、科普中国发展服务中心,1
中国科普摄影大赛组委会,1
中国移动,1
中国移动 等,1
中国移动通信集团有限公司,2
中国管理现代化研究会决策模拟专业委员会,4
中国红丝带网,1
中国纪检监察杂志社 等,1
中国纪检监察杂志社、浙江省纪委省监委、浙江省教育厅、中国美术学院、余杭区委,1
中国纺织企业文化建设协会 等,2
中国纺织信息中心 等,2
中国纺织工业企业管理协会 等,2
中国纺织工业联合会 等,1
中国纺织工业联合会流通分会 等,2
中国纺织服装教育学会,2
中国纺织服装教育学会 等,3
中国经济传媒协会 中国新闻史学会应用新闻传播学研究委员会 北京工商大学,1
中国统计教育学会,4
中国统计教育学会 教育部高等学校统计学类专业教学指导委员会 全国应用统计专业学位研究生教育指导委员会,2
中国统计教育学会 等,5
中国统计教育学会、教育部高等学校统计学类专业教学指导委员会、全国应用统计专业学位研究生教育指导委员会,2
中国绿化基金会 等,1
中国绿色建筑与节能专业委员会,1
中国编辑学会,2
中国编辑学会 等,2
中国网络社会组织联合会、农业农村部信息中心、山西省委网信办、山西省农业农村厅,1
中国网络社会组织联合会、四川省委网信办、四川省农业农村厅,1
中国网络视听节目服务协会网络视听国际交流与传播工作委员会 等,1
中国美术学院,5
中国美术学院 浙江省美术家协会,1
中国美术学院 等,4
中国美术学院、浙江省美术家协会,1
中国美术家协会,2
中国美术家协会  等,1
中国美术家协会 等,3
中国美术家协会、河南省文学艺术界联合会、郑州市政协,1
中国美术家协会、菏泽市人民政府,1
中国美术家协会平面设计艺委会 等,1
中国美术家协会环境设计艺术委员会 等,1
中国羽毛球协会,1
中国羽绒寝具设计大赛组委会,1
中国羽绒服装设计大赛组委会,1
中国翻译协会,4
中国翻译协会 等,7
中国翻译协会、中国对外翻译出版有限公司,2
中国翻译协会、中国翻译研究院、当代中国与世界研究院与西安外国语大学联合主办，教育部中外语言交流合作中心支持，《中国翻译》杂志社、西安外国语大学高级翻译学院,1
中国翻译协会翻译服务委员会,1
中国职业技术教育学会信息化工作委员 等,1
中国职业模特大赛组委会,1
中国联合国协会 等,1
中国联合国采购促进会,1
中国联合工程有限公司,1
中国联合网络通信集团有限公司 中国通信摄影协会,1
中国自动化协会 等,1
中国自动化学会,9
中国自动化学会 等,6
中国自动化学会机器人竞赛工作委员会,1
中国自动化学会机器人竞赛工作委员会 等,1
中国自动化学会机器人竞赛工作委员会、RoboCup中国委员会,95
中国自动化学会综合智能交通专业委员会 等,2
中国自然资源作家协会,1
中国自行车协会,1
中国航天科工集团公司人力资源部 等,1
中国航天科工集团第三总体设计部 等,1
中国航天科技集团有限公司 等,1
中国航天科技集团有限公司、中国航天科工集团有限公司,1
中国航空学会,4
中国航空学会 等,5
中国航空学会制导、导航与控制分会 等,1
中国航空工业集团公司 等,1
中国航空工业集团有限公司 等,2
中国船舶工业系统工程研究院,1
中国艺术摄影学会、《中国摄影家》杂志社、广东省艺术摄影学会、中共深圳市光明区委宣传部、深圳市光明区,2
中国艺术教育促进会、汇龙艺术人才基地有限公司,1
中国艺术管理教育学会,1
中国苏州创博会组委会,1
中国苏州文化创意设计产业交易博览会组委会,1
中国英语外语教师协会（TEFL China） 等,2
中国草学会,1
中国蔬菜协会,2
中国西安国际原创动漫大赛组委会,1
中国西安第五届国际原创动漫大赛组委会,1
中国西部研究与发展促进会教育工作委员会,7
中国西部研究与发展促进会教育工作委员会 等,4
中国计算机协会 等,1
中国计算机学会,14
中国计算机学会 (CCF),1
中国计算机学会 等,1
中国计算机学会(CCF),1
中国计算机学会（CCF）,2
中国计量大学 现代科技学院,1
中国诗书画研究会陕西分会 等,1
中国诗歌学会,1
中国诗歌学会   等,1
中国诗歌学会 北京广播电视台,1
中国诗歌学会 等,5
中国诗歌学会、马鞍山李白诗歌节组委会,1
中国诗歌网 等,3
中国诗歌网浙江频道,1
中国语文报刊协会 等,1
中国语文报刊协会校园文化分会,4
中国语文报刊协会校园文化分会 等,1
中国语文报刊协会读写教学分会,1
中国语文现代化学会,1
中国象棋协会,1
中国财政学会,1
中国贸促会商业行业分会 等,1
中国贸促会商业行业委员会  中国国际商会商业行业商会  中国商业经济学会,1
中国贸促会商业行业委员会 等,1
中国贸促会建筑分会集成建筑委员会 等,1
中国赛艇协会 等,1
中国超级模特大赛组委会,1
中国足球协会,1
中国软件行业协会培训中心,2
中国轻工业联合会,2
中国轻工业联合会轻工业职业能力评价中心,1
中国辩论教育联络组、太平洋路德大学,1
中国运筹学会,2
中国通信企业协会 等,1
中国通信学会,4
中国通信学会 等,6
中国通信学会、中国电子学会,1
中国通信学会、江苏省物联网技术与应用协同创新中心,1
中国通信工业协会,2
中国造船工程学会 等,1
中国邮政,2
中国邮政集团有限公司,3
中国邮政集团有限公司林芝市分公司 等,1
中国邮政集团有限公司黑龙江省分公司 等,1
中国酒业协会,3
中国量化投资研究院 等,1
中国金属学会,1
中国金融期货交易所 等,6
中国金融期货交易所、中国期货业协会,1
中国银河证券 等,1
中国银河证券、Wind资讯,1
中国银行上海市分行,1
中国陕西省委网信办,1
中国陶瓷工业协会,1
中国陶瓷工业协会 等,1
中国陶瓷工业协会、广东石湾陶瓷博物馆、国际陶艺学会,1
中国隆林信息技术公司,1
中国集邮总公司 等,1
中国雕塑学会 等,2
中国青少年新媒体协会,1
中国青年创业就业基金会 等,7
中国青年创业就业基金会、中国石油大学（北京）、中国石油天然气集团有限公司、中国石油化工集团有限公司、中国海洋石油集团有限公司、中国高等教育学会,1
中国青年创业就业基金会、中国石油大学（北京）、中国石油天然气集团有限公司、中国石油化工集团有限公司、中国海洋石油集团有限公司、中国高等教育学会。,1
中国青年报•中青在线,1
中国青年报社 等,5
中国青年报社、中国移动咪咕动漫、魔屏漫画联合,1
中国青年科技工作者协会 等,2
中国非物质文化遗产保护中心,1
中国非物质文化遗产保护协会 等,1
中国风景园林学会,5
中国食品有限公司,1
中国食品科学技术学会 等,1
中国食品科学技术学会（CIFST）、美国加州杏仁商会（ABC）,1
中国食品科学技术学会（大陆组织方） 等,1
中国驻纽约总领馆 等,1
中国驻纽约总领馆文化组 等,1
中国高校创新创业教育联盟 等,1
中国高校招生研究会,1
中国高校数字建造联盟,1
中国高校数字技术大赛组委会,1
中国高校智能机器人创意大赛组委会,2
中国高校科技成果交易会组委会,1
中国高校金融数学联盟校,1
中国高等教育学会,5
中国高等教育学会 等,7
中国高等教育学会、中华中山文化交流协会、北京歌华传媒集团有限责任公司,1
中国高等教育学会、中国发明协会、中国教育技术协会,1
中国高等教育学会工程教育专业委员会 等,1
中国高等教育学会设计教育专业委员会 等,1
中国高等教育学会财经分会,1
中国高等教育学会高等财经教育分会,1
中国高等院校市场学研究会,1
中国高等院校市场学研究会 等,2
中国高等院校影视学会 等,3
中国（上海）自由贸易试验区临港新片区管理委员会 等,1
中国（寿光）国际蔬菜科技博览会,1
中国（杭州）女装节设计师创业大赛组委会,1
中国（浙江）畲族服饰设计大赛组委会,1
中国（深圳）创新创业国际大赛组委会,1
中国（虎门）国际童装网上设计大赛组委会,1
中国（青岛）国际时装周“即发杯”中国针织时装设计大赛组委会,1
中國科學文化發展出版社 等,1
中外语言文化比较学会,1
中央人民广播电台,1
中央人民广播电台、中国移动通信集团公司,1
中央军委装备发展部,1
中央宣传部 等,1
中央广播电视总台,5
中央广播电视总台2024年广播电视公益广告优秀文案有奖征集,1
中央广播电视总台广东总站、深圳市工业设计行业协会等,1
中央广播电视总台总经理室,1
中央广播电视总台新闻新媒体中心 等,1
中央广播电视总台非洲总站和浙江大学传媒与国际文化学院,1
中央文明办 等,1
中央民族大学新闻与传播学院 等,1
中央电视台,2
中央电视台新闻中心 等,1
中央精神文明建设办公室,1
中央网信办网络传播局 等,3
中央网信办网络社会工作局 等,2
中央网信办网评局、国务院国资委宣传局,1
中央网络安全和信息化领导小组办公室 等,1
中央美术学院,4
中央美术学院 等,1
中央财经大学“与世界对话”德育示范基地、中央财经大学政府管理学院、红叶国际关系学会,1
中央财经大学教务处,1
中央财经大学教务处 等,1
中央音乐学院,2
中宣部 等,1
中宣部宣教局 等,1
中山大学,1
中山大学中国语言文学系、广东省作家协会,1
中山大学旅游学院,1
中山市工业和信息化局,2
中山市文化广电旅游局 等,1
中文在线集团股份有限公司 等,1
中新天津生态城社会局 等,1
中智智慧科技有限公司,1
中欧国际工商学院,1
中科院深圳先进院&思为科技【元宇宙空间计算联合实验室】,1
中航国际 等,1
中航工业基础技术研究院 等,3
中译出版社,3
中诚信绿金,1
中钞印制技术研究院有限公司 等,1
中铁交通投资集团有限公司,1
中青在线 等,1
中非合作论坛中方后续行动委员会秘书处 等,1
中非合作论坛后续行动委员会秘书处、中国公共外交协会,1
临海市人民政府  等,1
丹东市文联 等,1
主办单位：中国外文局亚太传播中心 等,1
主办单位：中国外文局亚太传播中心（人民中国杂志社、中国报道杂志社）,1
主办单位：中国对外贸易经济合作企业协会外经贸从业人员考试中心,1
丽水市经济和信息化委员会 等,1
丽江市创建全国文明城市指挥部 等,1
义乌市人力资源和社会保障局,2
之江实验室 等,1
乌镇戏剧节,2
乐华娱乐,1
乐家Roca 等,1
乐山市经济和信息化委员会,1
乳山市委市政府 乳山市文化和旅游局,1
云南大学旅游文化学院,1
云南大学旅游文化学院信息科学与技术系,2
云南大学滇池学院,1
云南师范大学教务处,2
云南师范大学文理学院,1
云南省人民政府新闻办公室,1
云南省司法厅 等,1
云南省大学外语教学与考试指导委员会 等,1
云南省室内装饰协会 等,1
云南省教育厅,1
云南省消防救援局 等,1
云南省科学技术厅 等,1
云南省翻译工作者协会 等,1
互动百科,1
互联网应用创新开放平台联盟,9
互联网应用创新开放平台联盟 等,1
井冈山大学,1
亚太地区大学生数学建模竞赛组委会,4
亚太地区大学生数学建模竞赛组委会 等,1
亚太地区数学建模竞赛组委会,1
亚洲动物基金,1
亚洲协会（ Asia Society )中美对话 ( U.S.-China Dialogue ) 项目组与北京师范大学国际与比较教育研究院,1
亚洲发型化妆大赛组委会,1
亚洲园林协会 等,1
亚洲大学生体育联合会,1
亚洲微电影艺术节组委会 等,1
亚洲教育北京论坛  等,1
亚洲教育北京论坛 等,1
亚洲教育北京论坛、中国青年报社,1
亚洲模拟联合国大会,1
亚洲超级模特大赛组委会,1
亚洲超级计算机协会 等,3
亚马逊云科技,1
交叉学科数学建模学生论坛组委会,2
交通工程教学指导分委员会,1
交通运输部 等,1
京东,2
京东云 等,1
京东方科技集团股份有限公司,1
京东方科技集团股份有限公司（BOE）,1
京东电脑数码,1
京东金融,1
京津冀 MTI 教育联盟,1
人力资源和社会保障部 等,1
人力资源和社会保障部教育培训中心,1
人力资源社会保障部,3
人力资源社会保障部 等,4
人力资源社会保障部、农业农村部、贵州省人民政府,1
人民中国杂志社 等,1
人民日报,1
人民日报数字传播,1
人民日报海外网,1
人民日报社 等,2
人民日报社、教育部,1
人民日报社新媒体中心 等,1
人民网,1
人民网创业投资有限公司,1
今日头条 等,1
伍阖文化,1
众爱云支教,1
传媒大学教育基金会 等,1
住建部高等学校建筑电气与智能化学科专业指导委员会,1
住房和城乡建设部、联合国人居署、联合国环境署,1
住房城乡建设部智能建造工程技术创新中心,1
体育总局科教司,1
余杭区人民政府中国工业设计协会 等,1
佛山市人民政府,3
佛山市儿童活动中心,1
佛山高新技术产业开发区管理委员会,1
作家出版社有限公司 等,1
作家网 等,1
佳能,2
佳能（中国）有限公司,1
俄罗斯东欧中亚学院、教育部外指委俄语分委员会、中国俄语教学研究会、中国俄罗斯文学研究会,1
保乐力加中国,1
保洁,1
信息学院,1
信息安全与对抗技术竞赛组委会,1
信息工程学院团委,1
信息工程系 计算机协会,1
信息科学与工程学院,2
信息管理学院 等,1
信阳市住房和城乡建设局、中国建设贸促会乡建委员会、乡建网,1
修武县文广新局 等,1
儋州市及各市县旅文局,1
光华设计发展基金会创新创意专项基金和创途网主办 等,1
光合创业,1
光线传媒,1
光谷互联网+,1
光速文化传媒消费者在线网,1
光魔科技（深圳）有限公司,1
全 球 摄 影 网,2
全军军事建模竞赛秘书组,1
全国3D大赛组委会会 等,1
全国三维数字化创新设计大赛组委会,2
全国三维数字化创新设计大赛组委会 　　　　　国家制造业信息化培训中心 　　　　　中国图学学会 　　　　　国家两化融合创新推进联盟 　　　　　全国 3D技术推广服务与教育培训联盟 　　　　　北京光华设计发展基金会,1
全国三维数字化创新设计大赛组委会 等,1
全国会计专业学位研究生教育指导委员会,1
全国会计专业学位研究生教育指导委员会 等,1
全国体育运动学校联合会,1
全国体育院校体育产业创新创业服务平台,1
全国信标委软件与系统工程分技术委员会,1
全国博弈论与实验经济学研究会 等,1
全国反走私综合治理调查研究中心,1
全国各省、市、自治区标识行业协会,1
全国各省区市社科联,1
全国商务外语考试办公室 等,2
全国商务英语翻译项目考试办公室 等,1
全国大学生信用大使联盟,1
全国大学生创新创业实践大赛组委会,2
全国大学生包装与印刷创新设计大赛组委会,1
全国大学生化学实验创新设计大赛组委会,1
全国大学生广告艺术大赛北京赛区组委会,1
全国大学生广告艺术大赛组委会,4
全国大学生广告艺术大赛组委会 等,1
全国大学生手工作品创意赛组委会,1
全国大学生数学创新思维挑战赛组织委员会 等,1
全国大学生数学建模竞赛山西赛区组委会,1
全国大学生数学建模竞赛组委会,6
全国大学生数学建模竞赛组委会 等,1
全国大学生数学建模竞赛组织委员会,3
全国大学生数学建模竞赛辽宁赛区组委会,3
全国大学生数学建模组委会,2
全国大学生数学竞赛委员会,1
全国大学生数学竞赛工作组,1
全国大学生数据统计与分析竞赛组委会,2
全国大学生文学作品征文大赛组委会,1
全国大学生机器人大赛组委会,4
全国大学生机械创新设计大赛组委会,3
全国大学生机械创新设计大赛组委会 等,2
全国大学生生命科学竞赛委员会,3
全国大学生生命科学竞赛委员会 等,2
全国大学生生命科学竞赛委员会、高等学校国家级实验教学示范中心联席会 及《高校生物学教学研究（电子版）》杂志社,1
全国大学生生命科学竞赛由全国大学生生命科学竞赛委员会,1
全国大学生电子商务“创新、创意及创业”挑战赛竞赛组织委员会,1
全国大学生电子商务“创新、创意及创业”挑战赛竞赛组织委员会（简称三创赛组委会）,1
全国大学生电子设计竞赛江苏赛区组委会,1
全国大学生电子设计竞赛组委会,3
全国大学生等离子体科技创新竞赛 等,1
全国大学生结构设计竞赛委员会秘书处,1
全国大学生节能减排社会实践与科技竞赛委员会,1
全国大学生节能减排社会实践与科技竞赛委员会秘书处,1
全国大学生英语竞赛模拟比赛,1
全国大学生英语竞赛组委会,1
全国大学生英语竞赛组委会 等,1
全国大学生软件创新大赛组织委员会 等,4
全国妇联 等,2
全国妇联儿童工作部 等,1
全国工业设计一流专业建设协同创新平台 等,1
全国工业设计一流专业建设协同创新平台、广东省本科高校工业设计专业教学指导委员会,1
全国工商联纺织服装业商会 等,3
全国应用型人才综合技能大赛组委会,2
全国心系系列活动组委会办公室 等,1
全国总工会 等,1
全国扶贫宣传教育中心,1
全国插画双年展组委会 等,1
全国数字金融产教融合联盟,1
全国数独大赛组织委员会,1
全国服装辅料(钮扣)创意设计大赛组委会,1
全国电子商务产教融合创新联盟,1
全国电子商务产教融合创新联盟、西安交通大学,1
全国电子商务创新产教联盟,1
全国石油工程知识竞赛组委会 等,1
全国管理决策模拟大赛组委会,1
全国纺织服装信息研究会,1
全国纺织服装信息研究会 等,1
全国翻译专业学位研究生教育指导委员会  中国翻译协会对外传播翻译委员会  中国外文局翻译院,1
全国翻译专业学位研究生教育指导委员会 等,1
全国翻译专业学位研究生教育指导委员会、中国外文局翻译院,1
全国艺术专业学位研究生教育指导委员会 等,1
全国艺术院校图书馆协作委员会,1
全国节约用水办公室,1
全国英语口语测评大赛组委会,2
全国英语口语等级考试委员会 等,1
全国财经高校图书情报专业委员会,2
全国部分地区大学生物理竞赛,1
全国金融职业教育教学指导委员会,2
全国青少年冰心文学大赛组委会,1
全国青少年校园足球领导工作小组办公室 等,1
全国青少年生态文明教育中心,1
全国高校GIS技能大赛组委会,1
全国高校国产软件应用与设计创新大赛组委会,1
全国高校图书馆,2
全国高校校园网站联盟 等,1
全国高校毕业生服装设计大赛组委会,1
全国高校计算机教育研究会,1
全国高等学校实验物理教学研究会 等,1
全国高等学校建筑学学科专业指导委员会,4
全国高等学校测绘类专业竞赛联盟,1
全国高等学校计算机教育研究会,11
全国高等学校计算机教育研究会 oceanbase,1
全国高等学校计算机教育研究会 等,5
全国高等师范院校外语教学与研究协作组,2
全国高等师范院校外语教学与研究协作组 等,1
全国高等物理教育研究会,1
全国高等美术院校图书馆专业委员会,1
全国高等院校计算机基础教育研究会,25
全国高等院校计算机基础教育研究会 等,6
全心网络安全知识竞赛活动项目组,1
全志科技,1
全棉时代,1
全球华人营销联盟（GCMF） 等,1
全球摄影网,1
全球节能环保网,1
公益南京,1
兰州交通大学,1
兰州交通大学创新创业学院,1
兰州交通大学创新创业学院 等,2
兰州交通大学教务处 等,2
兰州信息科技学院,5
兰州信息科技学院数学建模工作室,1
兰州城市学院教务处,1
兰州现代职业学院计算机协会,1
共青团 等,1
共青团上海市委,1
共青团上海市委、上海市教育厅,1
共青团上海市委员会 共青团江苏省委员会 共青团浙江省委员会 共青团安徽省委员会,1
共青团上海市委员会 等,3
共青团东北师范大学委员会（由东北师范大学免费师范生协会承办）,1
共青团东南大学委员会,2
共青团中国人民大学委员会、中国人民大学商学院,1
共青团中国国际青年交流中心 等,1
共青团中国石油大学（华东）理学院委员会,2
共青团中国矿业大学团委 等,1
共青团中国矿业大学委员会,18
